"cayley_0"	"cayley_1"	"cayley_2"	"cayley_3"	"cayley_4"	"cayley_5"	"cayley_6"	"cayley_7"	"cayley_8"	"cayley_9"	"cayley_10"	"cayley_11"	"cayley_12"	"cayley_13"	"cayley_14"	"cayley_15"	"cayley_16"	"cayley_17"
3914.5	2484.5	2485.5	2851	2235.5	2150	1335	2662	1884	1401	1957	1056	1863	1839	1463	1352	3370	4413
3918	2486	2484	2847	2235	2152	1330.5	2660	1882	1401	1958	1057	1866	1842	1458.5	1351	3377	4412
3916	2483.5	2482	2848	2235.5	2150	1331	2660	1882	1401	1957	1059	1869	1842	1460	1354	3372	4413
3905	2486.5	2484.5	2846.5	2237	2153	1333	2661	1882	1399.5	1957	1056.5	1868.5	1845.5	1460	1350	3367.5	4413
3921.5	2484.5	2482	2848	2238.5	2152	1331.5	2661	1885	1400.5	1958	1058	1870.5	1845	1456	1351	3380	4413
3908	2487	2488	2847	2234	2155	1331	2662	1882	1398	1960	1057	1869	1852	1459	1352	3373	4414
3909	2487	2485	2847	2234	2151	1332	2662	1885	1400	1958	1060	1874	1848	1462	1351	3381	4413
3910	2487	2487	2846	2236	2155	1335	2662	1880	1400	1956	1057	1870	1846	1462	1356	3366	4412
3908	2485	2481.5	2846	2236	2153	1333.5	2660.5	1878	1402.5	1954	1057	1872	1852	1465	1351	3370	4414.5
3905	2484	2481	2848	2236	2155	1334	2660	1883	1400	1956	1059	1876	1849	1463	1352	3378	4412
3911	2485	2485	2848	2236	2152	1333	2662	1882	1401	1958	1061	1868	1845	1464	1354	3380	4412
3906	2485	2483	2842	2233	2152	1330	2661	1884	1400	1956	1059	1874	1846	1463	1348	3370	4413
3906	2488	2488	2849	2239	2154	1332	2663	1881	1401	1956	1056	1866	1843	1463	1353	3367	4413
3912	2484	2485	2847	2234	2153	1335	2662	1883	1400	1956	1054	1871	1848	1462	1352	3368	4413
3912	2484	2487	2848	2232	2154	1331	2659	1881	1399	1955	1056	1869	1846	1460	1351	3373	4414
3920	2484	2485	2843	2234	2153	1332	2660	1879	1402	1957	1057	1867	1841	1461	1351	3364	4412
3911	2486	2487	2845	2235	2153	1331	2661	1880	1401	1957	1063	1867	1838	1460	1353	3379	4412
3910	2485	2482	2845	2236	2154	1332	2661	1881	1398	1956	1056	1870	1847	1465	1353	3370	4412
3918	2485	2484	2849	2234	2151	1330	2662	1883	1402	1957	1054	1872	1843	1461	1354	3376	4412
3912	2484	2482	2844	2237	2155	1333	2660	1884	1399	1957	1059	1871	1847	1457	1354	3372	4411
3912	2485	2488	2848	2236	2154	1334	2663	1883	1400	1955	1060	1868	1850	1462	1355	3369	4412
3907	2485	2480	2847	2234	2154	1327	2661	1883	1401	1957	1059	1871	1839	1461	1351	3377	4412
3911	2486	2483	2848	2233	2150	1333	2661	1882	1401	1958	1059	1866	1838	1462	1354	3373	4413
3906	2485	2487	2849	2238	2152	1333	2661	1882	1399	1956	1060	1869	1841	1458	1352	3374	4412
3912	2485	2489	2852	2238	2150	1332	2662	1882	1403	1957	1056	1870	1851	1461	1351	3371	4412
3903	2486	2489	2846	2237	2154	1330	2662	1884	1401	1957	1058	1868	1847	1459	1350	3375	4413
3909	2484	2488	2847	2237	2151	1331	2660	1880	1400	1957	1059	1869	1842	1459	1353	3371	4412
3908	2485	2487	2844	2236	2148	1331	2661	1882	1401	1958	1055	1867	1843	1460	1351	3370	4412
3902	2485	2481	2848	2233	2151	1332	2661	1882	1400	1956	1059	1871	1848	1463	1350	3371	4412
3910	2484	2486.5	2844.5	2233.5	2153.5	1331.5	2661	1882	1401	1957	1063	1867.5	1842	1458	1353	3380	4414
3907.5	2486	2485	2848	2235	2151	1331	2661	1881	1399.5	1955.5	1056.5	1869.5	1842.5	1462.5	1351	3373.5	4412
3911	2483	2481	2849	2236	2153	1329	2661	1882	1401	1957	1057	1875	1849	1463	1351	3374	4413
3913	2487	2489	2848	2237	2154	1335	2662	1883	1401	1957	1057	1870	1849	1464	1353	3375	4414
3905	2485	2481	2845	2236	2152	1333	2658	1881	1399	1955	1055	1872	1839	1457	1353	3373	4411
3910.5	2486	2487	2848	2238	2151	1330.5	2662	1882	1401	1956	1057.5	1868	1844	1460.5	1352.5	3369.5	4414
3912.5	2485	2484	2843	2237	2154	1329	2661	1881	1401	1956.5	1056	1868.5	1843.5	1461	1352	3368	4414
3908	2485	2486	2849	2239	2151	1334	2661	1882	1399	1955	1062	1872	1847	1458	1356	3374	4413
3913	2486	2484.5	2843.5	2236	2153	1331	2660	1883	1400.5	1957	1057	1870.5	1846.5	1459	1353	3369.5	4415
3907	2487	2489	2850	2237	2155	1334	2661	1884	1400	1958	1057	1876	1848	1463	1354	3374	4413
3910	2483	2483	2845	2235	2151	1327	2662	1881	1400	1955	1059	1868	1842	1458	1351	3366	4411
3917	2486	2488	2849	2241	2154	1328	2660	1880	1402	1958	1061	1871	1846	1465	1355	3376	4413
3910	2484	2485.5	2846	2234	2151.5	1330	2660	1882.5	1400	1956	1057	1867.5	1843.5	1459.5	1350.5	3371	4413
3907	2484	2486	2851	2238	2153	1332	2662	1883	1401	1956	1055	1870	1841	1458	1355	3371	4413
3910	2486	2482	2842	2236	2153	1329	2661	1882	1401	1958	1056	1867	1843	1456	1353	3370	4411
3905	2486	2487	2845	2236	2154	1334	2659	1881	1398.5	1955.5	1059	1871	1843	1459.5	1350	3372	4413
3910	2484	2483	2841	2235.5	2152	1330.5	2661	1884	1399.5	1956	1057	1867.5	1838	1463.5	1351	3368	4413
3906	2487	2482	2847	2236	2153	1334	2661	1882.5	1400	1957	1061	1867	1839	1459.5	1352.5	3373	4412.5
3904	2484	2482	2844.5	2236	2151	1330.5	2660.5	1883	1400	1957	1060	1870.5	1844	1458	1353	3379	4409
3907	2485	2484	2847	2234	2152	1334	2662	1883	1400	1955	1057	1868	1837	1461	1356	3375	4413
3908	2485	2488	2850	2236	2155	1334	2661	1882	1401	1957	1057	1868	1841	1462	1353	3368	4413
3909	2486	2483	2845	2233	2152	1325	2662	1881	1400	1957	1058	1866	1842	1458	1352	3371	4411
3907	2484	2483	2844.5	2235	2152	1328	2660	1881.5	1400	1955.5	1060.5	1868	1843	1459	1353	3369.5	4411
3908.5	2484.5	2484	2845	2231.5	2154	1332	2659.5	1879	1398.5	1956	1059	1866.5	1843.5	1459	1353	3375.5	4412
3906.5	2485	2486	2850	2233	2153.5	1329.5	2661.5	1884	1401	1956	1055.5	1871	1846.5	1459.5	1352	3370	4413
3912.5	2485	2484.5	2845	2240	2153	1331.5	2660	1882.5	1400	1957.5	1058.5	1870	1842	1458.5	1353	3378.5	4412.5
3907	2485.5	2480	2847.5	2236	2153	1329	2659	1880	1399	1957	1055.5	1867	1837.5	1459	1349	3368	4411.5
3906.5	2485	2482.5	2843.5	2238	2151.5	1334.5	2660	1881.5	1400.5	1957.5	1058	1864	1840.5	1459.5	1354	3371	4413
3909	2485	2480	2847	2235	2151	1332	2660	1879	1400	1956	1054	1868	1839	1459	1350	3366	4411
3910	2486	2484	2846.5	2235.5	2153	1326.5	2660.5	1882	1400	1955.5	1059.5	1869.5	1844	1460.5	1351.5	3368	4411.5
3908.5	2485	2482	2843	2235.5	2149.5	1331	2660	1881.5	1401	1957	1057	1869	1842	1461	1350.5	3366.5	4413
3912	2484	2485	2846	2236	2150	1334	2662	1882	1399	1957	1053	1865	1839	1457	1350	3371	4410
3910	2486	2484	2848	2237	2151	1331	2660	1883	1400	1957	1058	1866	1840	1457	1351	3373	4410
3908	2485	2482	2843	2235	2151	1326	2660	1879	1400	1954	1059	1870	1841	1460	1350	3370	4412
3911	2485	2489	2845	2235	2154	1333	2663	1883	1397	1956	1059	1870	1842	1461	1355	3367	4414
3907	2485	2487	2847	2236	2153	1329	2662	1882	1401	1956	1058	1872	1853	1459	1354	3373	4412
3910	2484	2481	2845	2236	2151	1332	2662	1883	1401	1957	1058	1872	1847	1463	1352	3374	4413
3903.5	2485.5	2482	2847.5	2238	2153	1330	2661.5	1880.5	1400.5	1958	1057.5	1870	1845	1459.5	1353	3370	4412.5
3917	2487	2489	2852	2238	2151	1336	2663	1884	1401	1958	1061	1879	1853	1463	1356	3374	4415
3914	2485	2481	2848	2236	2152	1335	2661	1882	1400	1955	1060	1865	1846	1458	1356	3375	4413
3911	2485	2487	2847	2235	2153	1328	2662	1883	1400	1958	1061	1872	1849	1457	1356	3372	4413
3910	2484	2480	2848	2234	2152	1330	2661	1882	1401	1957	1057	1868	1841	1458	1356	3370	4412
3913	2483.5	2481.5	2845	2233.5	2152	1330	2662	1882	1398.5	1957	1060	1868.5	1843	1456.5	1351.5	3370.5	4411.5
3908	2488	2488	2847	2236	2153	1334	2662	1886	1399	1954	1057	1869	1840	1461	1353	3365	4413
3911	2485	2489	2844.5	2237.5	2152	1335	2660	1882	1401.5	1955	1057	1869	1841	1462	1352	3369.5	4413.5
3910	2484	2481	2848	2238	2149	1332	2663	1882	1399	1956	1056	1865	1844	1460	1347	3369	4412
3904	2487	2488	2846	2236	2154	1331	2660	1879	1399	1956	1058	1868	1842	1458	1355	3380	4412
3905	2485	2486.5	2846.5	2235	2151.5	1332	2661	1883	1400	1955	1058	1872	1848	1455	1353	3372	4413
3912.5	2482	2481	2845	2238.5	2149	1330	2662	1883	1399	1957	1057.5	1871	1848	1460	1352	3371.5	4412
3911	2486	2488	2848	2236	2154	1334	2663	1883	1401	1959	1054	1872	1850	1461	1353	3374	4413
3906	2485	2485	2849	2234	2153	1333	2662	1881	1399	1955	1054	1866	1840	1459	1352	3374	4413
3906	2486	2487	2847	2238	2151	1330	2661	1882	1399	1959	1057	1865	1840	1456	1351	3369	4413
3914	2485	2477	2845	2236	2150	1332	2661	1881	1399	1955	1056	1867	1844	1459	1351	3374	4413
3910	2484	2481	2848	2236	2153	1334	2662	1885	1400	1956	1058	1873	1850	1462	1347	3375	4414
3909	2487	2487	2848	2236	2154	1327	2663	1884	1400	1959	1057	1867	1848	1459	1356	3378	4412
3915	2482	2482	2847	2234	2154	1332	2662	1884	1400	1956	1057	1871	1844	1462	1352	3373	4411
3900	2484	2486	2847	2234	2151	1332	2661	1881	1400	1957	1058	1866	1842	1460	1353	3374	4413
3904	2486	2488	2846	2235	2151	1333	2660	1879	1400	1957	1054	1867	1853	1460	1351	3369	4413
3906	2486	2487	2843	2235	2152	1326	2661	1883	1400	1957	1058	1867	1840	1458	1352	3377	4412
3910	2485	2488	2846	2235	2153	1330	2661	1883	1400	1959	1058	1868	1850	1460	1354	3377	4413
3914	2485	2488	2849	2235	2153	1333	2661	1882	1400	1956	1057	1865	1846	1460	1354	3374	4413
3911	2486	2486	2847	2237	2150	1335	2661	1883	1400	1957	1060	1873	1846	1459	1352	3372	4413
3909	2485	2484	2847	2235	2151	1327	2660	1882	1399	1958	1053	1863	1841	1464	1351	3375	4413
3909	2484	2483	2852	2234	2152	1335	2660	1881	1399	1954	1056	1875	1850	1463	1354	3372	4413
3908	2485	2482	2847	2235	2150	1329	2660	1881	1400	1958	1057	1868	1841	1457	1355	3370	4413
3908	2486	2486	2847	2234	2150	1333	2662	1885	1398	1958	1056	1871	1841	1464	1351	3371	4413
3907	2485	2482	2849	2233	2151	1332	2662	1882	1399	1955	1057	1871	1844	1462	1354	3367	4411
3912	2486	2488	2850	2237	2149	1330	2661	1882	1401	1958	1056	1869	1843	1460	1354	3374	4413
3909	2485	2482	2847	2237	2151	1331	2663	1884	1399	1957	1057	1867	1842	1464	1351	3381	4413
3910	2483	2482	2850	2236	2152	1330	2662	1883	1400	1956	1058	1868	1844	1460	1353	3371	4410
3908	2485	2483	2846	2235	2153	1333	2662	1885	1400	1957	1057	1871	1842	1461	1351	3373	4413
