Variable	F_statistic	DF	R_squared	beta_Age	beta_Sex	beta_euler_total	beta_DX3+year	beta_DXCHR	beta_DXFEP	se_Age	se_Sex	se_euler_total	se_DX3+year	se_DXCHR	se_DXFEP	t_Age	t_Sex	t_euler_total	t_DX3+year	t_DXCHR	t_DXFEP	p_Age	p_Sex	p_euler_total	p_DX3+year	p_DXCHR	p_DXFEP
Visual_left	0.6856049568249868	90	-0.020043539540897104	0.005723987436472585	0.13075600544200408	-0.0014793662803173743	-0.5372910237948969	-0.6233386248258727	-0.15995610458121806	0.028500291209631663	0.288993485257968	0.001364964379801227	0.48951102117857104	0.47869486923636234	0.2788028209722995	0.20083961228221295	0.4524531247660675	-1.0838131032641358	-1.0976076136167239	-1.302162744756912	-0.5737248426087859	0.8412771695035661	0.6520313079962329	0.281342630500657	0.27530380276373134	0.19618345852985467	0.5675849959785828
Somatomotor_left	3.059875085183521	90	0.11405810258751237	0.030963891377220675	-0.1936884904313827	-0.0033307533468452176	-0.04455610256662635	1.9400177563691527	1.1481150809184435	0.04131670134315895	0.41895212342556226	0.001978780680151034	0.7096411933989204	0.6939610827575442	0.4041787784908597	0.7494279642522224	-0.4623165264032765	-1.6832352267513508	-0.06278680406533195	2.795571401007447	2.8406119816713917	0.4555537328065369	0.6449700806187607	0.09579548543772308	0.9500755078891916	0.006332672394732888	0.005567816970712987
DorsalAtt_left	3.9265225004788267	90	0.15462547334856624	-0.02147665400062744	0.18745188265673182	-0.0026552283493883103	1.3021251260738855	1.4771288728771912	1.3516489169821324	0.03616748235457797	0.36673894669270046	0.0017321691472543504	0.6212000112779277	0.6074740818957723	0.3538067745958489	-0.593811142010801	0.5111316492213257	-1.5328920698057085	2.096144723814741	2.4315915969080475	3.8203025324376894	0.5541280221903212	0.6105105202170124	0.1288102728200658	0.03887629478907684	0.017013594285215355	2.448093596167519e-4
VentralAtt_left	1.1573079521369425	90	0.00973602487511771	0.0018127965914925695	0.006438729330325095	-0.0018280322509103203	0.2263979492781325	0.3939365046887274	0.5366921880774874	0.028883933388432575	0.29288362411753754	0.0013833381537672843	0.49610032489237105	0.48513857682039546	0.282555783386154	0.06276141712120682	0.021983917160698474	-1.3214644922009762	0.4563551723681083	0.812008204481681	1.899420290201665	0.9500956673523686	0.9825094517744746	0.18969605054224795	0.6492339854246316	0.41892945611628307	0.06071193750074918
Limbic_yeo_left	2.4569504360479297	90	0.08345961921501388	7.345671359001947e-4	-0.06493297380800472	-0.005041329422446923	0.6482342955599594	0.005625370207977441	-0.0845662554584001	0.029947842811572783	0.3036716855422634	0.0014342919652648482	0.5143736605692664	0.503008147992262	0.29296342961856364	0.024528215288225536	-0.21382623701664702	-3.5148557926391364	1.2602400652524608	0.011183457425950043	-0.2886580607296439	0.9804855806917692	0.8311662396482004	6.910242275530686e-4	0.21084056667359416	0.9911018310355034	0.773506856031707
Frontoparietal_left	1.3232372365643064	90	0.019802275239880207	-0.13110422144362222	0.022734113416997333	-0.004800833918243772	0.7275063620611842	0.0681353904734854	0.3639760951321213	0.06459349829892205	0.6549792793731725	0.003093576261950034	1.10943530651069	1.084921413409	0.63188300111554	-2.0296813904846225	0.034709668126836485	-1.5518718504833526	0.6557447358956702	0.0628021436680772	0.5760181781905036	0.04534204251355495	0.9723881179816313	0.12420243440237075	0.5136612264086322	0.9500633269131971	0.5660405434287736
Default_left	0.3198209028991373	90	-0.04439863242605835	0.008171474801961565	0.6487244381015538	5.816186391908869e-4	0.10950808219949693	0.8061812786014936	0.29278489755179177	0.0681318563906669	0.6908582965208465	0.0032630388377071886	1.1702089059818466	1.1443521698030543	0.6664968305088074	0.11993618308455398	0.9390123001612946	0.17824447336323088	0.09357994255531304	0.7044870450503355	0.43928925712711664	0.9048010321907445	0.3502377236764227	0.8589315856155827	0.9256508559142558	0.4829485208256663	0.661504886760208
Visual_right	1.055259568708586	90	0.0034418358963368423	0.034610625669132006	0.0931332128645568	9.446651515345988e-4	0.47570664546663477	-0.2644831720922153	0.07700007085845517	0.024633813429395798	0.24978732833964026	0.001179787168575704	0.4231017528435204	0.41375296875536616	0.24097917543733144	1.4050047820785543	0.3728500299980066	0.8007081079505587	1.1243315402727005	-0.6392296661648669	0.3195299789648407	0.16346212160865986	0.7101367265815564	0.42540934345442905	0.26386222227960154	0.52429718818714	0.7500651839854645
Somatomotor_right	0.6796338789836488	90	-0.020431989897784275	-0.06184931763252171	-0.16719030784806577	-0.0011716522832105436	0.3352681612760903	-0.16535591561637952	0.23203150229104483	0.036906297313792684	0.37423054418037904	0.00176755321035654	0.6338896382886502	0.6198833210747613	0.3610341988102368	-1.6758472709048295	-0.4467575147139248	-0.6628667676568589	0.528906202318173	-0.26675329048970603	0.6426856598507525	0.09723899596723871	0.6561233522252241	0.5091100086453737	0.5981725441624146	0.7902693652245902	0.5220620176483669
DorsalAtt_right	1.2273761099006295	90	0.014011883890575727	-0.04395374080924388	-0.3099030613358377	8.551815824198847e-4	0.9828343994583839	0.5465435632154773	0.5706353522827574	0.028418451948670164	0.28816363362304126	0.001361044852268682	0.4881053786919348	0.47732028558610384	0.27800223207113617	-1.5466620380530856	-1.0754412603681793	0.6283272597478401	2.0135701067098766	1.145024797226822	2.052628671473189	0.12545403914747394	0.2850518288962416	0.5313808731731474	0.04704153891323554	0.25523471053232955	0.043012453243242835
VentralAtt_right	0.8115221356641374	90	-0.011920285897759175	-0.01827253622759524	-0.4943269137345278	-5.905007053835232e-4	0.5765041528000843	0.4377199833381097	0.2308380731120676	0.02528821780931779	0.2564230009764807	0.0012111285560025653	0.43434157330441053	0.42474443606250006	0.24738085694426362	-0.7225711343273259	-1.9277791455996096	-0.48756236689895405	1.3273059459036365	1.030549069449612	0.9331282782486149	0.47181687709413356	0.05703584323390867	0.6270454181701546	0.18776473899983953	0.3055138670735468	0.35325040982733924
Limbic_yeo_right	3.2582643212213926	90	0.12368450152168275	0.030494073549447973	0.3231985622716629	-0.004947717856293809	0.10127158067001417	0.6747252490155166	0.09034115552123287	0.02898383347701491	0.2938966128819201	0.0013881226684745512	0.4978161738294248	0.48681651265230935	0.28353305152377656	1.0521062913789763	1.0997015552592146	-3.5643232177247	0.2034316801942931	1.385994992937748	0.318626541194112	0.29556743193452895	0.274395058621521	5.863047215196604e-4	0.8392568919215838	0.16917298883299528	0.750747979986693
Frontoparietal_right	2.1653015994629055	90	0.0678870448451292	-0.0668965321759788	0.1405506804576441	-0.0112062224347648	-0.5342639963423461	1.7183268670250793	0.8650644915792743	0.08736691583949342	0.8859021586474899	0.004184263494602424	1.5005835510677024	1.4674269131410425	0.8546629371796882	-0.7656963912847525	0.15865259959657774	-2.678182779172606	-0.3560374868578321	1.1709795231620652	1.0121703585672153	0.445860430176378	0.8742980466410007	0.008798931447308351	0.7226457202108685	0.24469804211830776	0.31417005616765953
Default_right	2.9330635639020715	90	0.10779327006865602	-0.03809836113764247	0.11371968085328506	-0.0072286515191812666	-0.12749951766079923	1.939662685693183	-0.13345160690715538	0.049600973221902496	0.5029547950282154	0.0023755392937350414	0.8519289460838546	0.8331048695541308	0.48521929672649927	-0.7680970485639429	0.22610318457527673	-3.042951778674103	-0.1496598023190652	2.3282335232673295	-0.27503359369150826	0.44444021554871016	0.8216338660530899	0.00307042678498174	0.8813678951641016	0.022140852051286422	0.7839208329465285
